shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S10008,45.521801,-73.661887,100001,21.894
S10008,45.521395,-73.660456,100002,22.015
S10008,45.520975,-73.658975,100003,22.140
S10008,45.520909,-73.658743,100004,22.159
S10008,45.520772,-73.658264,100005,22.200
S10008,45.520652,-73.657855,100006,22.234
S10008,45.520530,-73.657448,100007,22.269
S10008,45.520298,-73.656678,100008,22.334
S10008,45.520139,-73.656148,100009,22.379
S10008,45.519984,-73.655616,100010,22.424
S10008,45.519896,-73.655306,100011,22.450
S10008,45.519555,-73.654122,100012,22.550
S10008,45.517954,-73.648570,100013,23.019
S10008,45.517613,-73.647385,100014,23.119
S10008,45.516511,-73.643563,100015,23.442
S10008,45.516511,-73.643563,110001,23.442
S10008,45.516382,-73.643115,110002,23.480
S10008,45.516040,-73.641930,110003,23.579
S10008,45.515561,-73.640267,110004,23.720
S10008,45.515433,-73.639823,110005,23.757
S10008,45.514469,-73.636481,110006,24.040
S10008,45.514128,-73.635297,110007,24.140
S10008,45.513944,-73.634659,110008,24.194
S10008,45.513944,-73.634659,120001,24.194
S10008,45.513670,-73.633710,120002,24.274
S10008,45.513632,-73.633574,120003,24.285
S10008,45.513593,-73.633437,120004,24.297
S10008,45.513529,-73.633188,120005,24.317
S10008,45.513472,-73.632936,120006,24.338
S10008,45.513422,-73.632681,120007,24.359
S10008,45.513396,-73.632538,120008,24.370
S10008,45.513372,-73.632395,120009,24.382
S10008,45.513221,-73.631496,120010,24.454
S10008,45.513158,-73.631122,120011,24.484
S10008,45.513060,-73.630533,120012,24.531
S10008,45.512938,-73.629804,120013,24.590
S10008,45.512882,-73.629471,120014,24.616
S10008,45.512080,-73.624685,120015,25.001
S10008,45.511918,-73.623718,120016,25.079
S10008,45.510074,-73.612720,120017,25.962
S10008,45.510074,-73.612721,130001,25.962
S10008,45.507392,-73.596747,130002,27.245
S10008,45.507215,-73.595695,130003,27.330
S10008,45.504685,-73.580652,130004,28.539
S10008,45.504557,-73.579891,130005,28.600
S10008,45.504032,-73.576765,130006,28.851
S10008,45.503990,-73.576520,130007,28.871
S10008,45.503947,-73.576274,130008,28.890
S10008,45.503885,-73.575958,130009,28.916
S10008,45.503816,-73.575644,130010,28.942
S10008,45.503742,-73.575334,130011,28.967
S10008,45.503660,-73.575027,130012,28.993
S10008,45.503572,-73.574724,130013,29.019
S10008,45.503478,-73.574423,130014,29.044
S10008,45.503379,-73.574127,130015,29.070
S10008,45.503273,-73.573835,130016,29.096
S10008,45.503160,-73.573549,130017,29.121
S10008,45.503043,-73.573267,130018,29.147
S10008,45.502919,-73.572989,130019,29.173
S10008,45.502803,-73.572743,130020,29.196
S10008,45.502685,-73.572500,130021,29.219
S10008,45.502646,-73.572419,130022,29.227
S10008,45.502646,-73.572419,140001,29.227
S10008,45.502407,-73.571931,140002,29.273
S10008,45.502134,-73.571372,140003,29.326
S10008,45.501942,-73.570977,140004,29.364
S10008,45.501891,-73.570872,140005,29.374
S10008,45.501681,-73.570441,140006,29.415
S10008,45.501446,-73.569960,140007,29.460
S10008,45.501387,-73.569844,140008,29.472
S10008,45.501322,-73.569735,140009,29.483
S10008,45.501322,-73.569735,140010,29.483
S10008,45.501158,-73.569474,140011,29.510
S10008,45.501035,-73.569272,140012,29.531
S10008,45.501035,-73.569272,140013,29.531
S10008,45.500906,-73.569052,140014,29.553
